🕘️公告,#genre#
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000512.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
 
美国38-高清,#genre#
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
 
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
湖南卫视,http://38.75.136.137:98/gslb/dsdqpub/hnwshd.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snwshd.m3u8?auth=testpub
山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
内蒙古卫视,http://38.75.136.137:98/gslb/dsdqpub/nmgws.m3u8?auth=testpub
宁夏卫视,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub
青海卫视,http://38.75.136.137:98/gslb/dsdqpub/qhws.m3u8?auth=testpub
海南卫视,http://38.75.136.137:98/gslb/dsdqpub/lywshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
西藏卫视,http://38.75.136.137:98/gslb/dsdqpub/xzws.m3u8?auth=testpub
新疆卫视,http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
兵团卫视,http://38.75.136.137:98/gslb/dsdqpub/btws.m3u8?auth=testpub
大湾区卫视,http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
广东珠江,http://38.75.136.137:98/gslb/dsdqpub/gdzj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
重温经典,http://38.75.136.137:98/gslb/dsdqpub/cwjd.m3u8?auth=testpub

📺咪咕cdn6,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$标清高峰不卡带广告
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

📺咪咕go,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1$高峰不卡带广告
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws
广东珠江,http://go.bkpcp.top/mg/gdzj
广东体育,http://go.bkpcp.top/mg/gdty
大湾区卫视,http://go.bkpcp.top/mg/gddwq
广东影视,http://go.bkpcp.top/mg/gdys
广东新闻,http://go.bkpcp.top/mg/gdxw
广东民生,http://go.bkpcp.top/mg/gdms

📺咪咕m.06,#genre#
CCTV1,http://m.061899.xyz/mg/cctv1$高峰不卡带广告
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx

📺美国107-高清-高峰卡,#genre#
CCTV-1 综合,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2 财经,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3 综艺,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5 体育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8
CCTV-6 电影,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7 国防军事,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8 电视剧,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9 纪录,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10 科教,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11 戏曲,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12 社会与法,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13 新闻,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14 少儿,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15 音乐,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16 奥林匹克,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17 农业农村,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-4K 超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K 超高清,http://107.150.60.122/live/cctv8k.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
卡酷少儿,http://107.150.60.122/live/btvkk.m3u8


📺咪咕k.06-高峰不卡带广,#genre#
CCTV-1综合,http://k.061899.xyz/k.php?id=cctv1$广东/广州/腾讯云-标清-高峰不卡带广告
CCTV-2财经,http://k.061899.xyz/k.php?id=cctv2
CCTV-3综艺,http://k.061899.xyz/k.php?id=cctv3
CCTV-4中文国际,http://k.061899.xyz/k.php?id=cctv4
CCTV-4美洲,http://k.061899.xyz/k.php?id=cctv4m
CCTV-4欧洲,http://k.061899.xyz/k.php?id=cctv4o
CCTV-5体育,http://k.061899.xyz/k.php?id=cctv5
CCTV-5+体育赛事,http://k.061899.xyz/k.php?id=cctv5p
CCTV-6电影,http://k.061899.xyz/k.php?id=cctv6
CCTV-7国防军事,http://k.061899.xyz/k.php?id=cctv7
CCTV-8电视剧,http://k.061899.xyz/k.php?id=cctv8
CCTV-9纪录,http://k.061899.xyz/k.php?id=cctv9
CCTV-10科教,http://k.061899.xyz/k.php?id=cctv10
CCTV-11戏曲,http://k.061899.xyz/k.php?id=cctv11
CCTV-12社会与法,http://k.061899.xyz/k.php?id=cctv12
CCTV-13新闻,http://k.061899.xyz/k.php?id=cctv13
CCTV-14少儿,http://k.061899.xyz/k.php?id=cctv14
CCTV-15音乐,http://k.061899.xyz/k.php?id=cctv15
CCTV-16奥运,http://k.061899.xyz/k.php?id=cctv16
CCTV-17农业农村,http://k.061899.xyz/k.php?id=cctv17
CHC家庭影院,http://k.061899.xyz/k.php?id=jtyy
CHC动作电影,http://k.061899.xyz/k.php?id=dzdy
CHC影迷电影,http://k.061899.xyz/k.php?id=ymdy
CCTV发现之旅,http://k.061899.xyz/k.php?id=fxzl
CCTV中学生,http://k.061899.xyz/k.php?id=zxs
CCTV老故事,http://k.061899.xyz/k.php?id=lgs
CGTN,http://k.061899.xyz/k.php?id=cgtn
CGTN纪录,http://k.061899.xyz/k.php?id=cgtnjl
CCTV西班牙语,http://k.061899.xyz/k.php?id=cgtne
CCTV法语,http://k.061899.xyz/k.php?id=cgtnf
CCTV阿拉伯语,http://k.061899.xyz/k.php?id=cgtna
CCTV俄语,http://k.061899.xyz/k.php?id=cgtnr
CETV 1 中国教育,http://k.061899.xyz/k.php?id=cetv1
CETV 2 中国教育,http://k.061899.xyz/k.php?id=cetv2
CETV 4 中国教育,http://k.061899.xyz/k.php?id=cetv4
浙江卫视,http://k.061899.xyz/k.php?id=zjws
广东卫视,http://k.061899.xyz/k.php?id=gdws
江苏卫视,http://k.061899.xyz/k.php?id=jsws
东方卫视,http://k.061899.xyz/k.php?id=dfws
陕西卫视,http://k.061899.xyz/k.php?id=sxws
江西卫视,http://k.061899.xyz/k.php?id=jxws
湖北卫视,http://k.061899.xyz/k.php?id=hubws
吉林卫视,http://k.061899.xyz/k.php?id=jlws
青海卫视,http://k.061899.xyz/k.php?id=qhws
河南卫视,http://k.061899.xyz/k.php?id=hnws
东南卫视,http://k.061899.xyz/k.php?id=dnws
大湾区卫视,http://k.061899.xyz/k.php?id=dwqws
海南卫视,http://k.061899.xyz/k.php?id=hinws
湖南卫视,http://k.061899.xyz/k.php?id=hunws
北京卫视,http://k.061899.xyz/k.php?id=bjws
天津卫视,http://k.061899.xyz/k.php?id=tjws
重庆卫视,http://k.061899.xyz/k.php?id=cqws
黑龙江卫视,http://k.061899.xyz/k.php?id=hljws
吉林卫视,http://k.061899.xyz/k.php?id=jlws
辽宁卫视,http://k.061899.xyz/k.php?id=lnws
内蒙古卫视,http://k.061899.xyz/k.php?id=nmgws
宁夏卫视,http://k.061899.xyz/k.php?id=nxws
甘肃卫视,http://k.061899.xyz/k.php?id=gsws
安多卫视,http://k.061899.xyz/k.php?id=adws
河北卫视,http://k.061899.xyz/k.php?id=hbws
山西卫视,http://k.061899.xyz/k.php?id=sxiws
山东卫视,http://k.061899.xyz/k.php?id=sdws
安徽卫视,http://k.061899.xyz/k.php?id=ahws
深圳卫视,http://k.061899.xyz/k.php?id=szws
广西卫视,http://k.061899.xyz/k.php?id=gxws
云南卫视,http://k.061899.xyz/k.php?id=ynws
贵州卫视,http://k.061899.xyz/k.php?id=gzws
四川卫视,http://k.061899.xyz/k.php?id=scws
新疆卫视,http://k.061899.xyz/k.php?id=xjws
西藏卫视,http://k.061899.xyz/k.php?id=xzws
兵团卫视,http://k.061899.xyz/k.php?id=btws
广东影视,http://k.061899.xyz/k.php?id=gdys
上海新闻综合,http://k.061899.xyz/k.php?id=shxw
上海东方影视,http://k.061899.xyz/k.php?id=shys
上海第一财经,http://k.061899.xyz/k.php?id=dycj
欢笑剧场,http://k.061899.xyz/k.php?id=hxjc
经典香港电影,http://k.061899.xyz/k.php?id=xgdy
军事迷必看大片,http://k.061899.xyz/k.php?id=jsm
新片放映厅,http://k.061899.xyz/k.php?id=xpdy
红色轮播台,http://k.061899.xyz/k.php?id=hslb
金色剧场,http://k.061899.xyz/k.php?id=jsjc
NBA 经典,http://k.061899.xyz/k.php?id=nba
五大联赛经典,http://k.061899.xyz/k.php?id=lsjd
中国足球风云,http://k.061899.xyz/k.php?id=zqfy
